Task;Start;Finish;Resource
Job 19;2023-01-01 00:05:00;2023-01-01 00:09:00;Machine 2
Job 19;2023-01-01 00:09:00;2023-01-01 00:27:00;Machine 4
Job 19;2023-01-01 00:27:00;2023-01-01 00:34:00;Machine 5
Job 19;2023-01-01 00:34:00;2023-01-01 00:36:00;Machine 1
Job 2;2023-01-01 00:00:00;2023-01-01 00:01:00;Machine 5
Job 2;2023-01-01 00:01:00;2023-01-01 00:19:00;Machine 4
Job 2;2023-01-01 00:19:00;2023-01-01 00:28:00;Machine 3
Job 2;2023-01-01 00:28:00;2023-01-01 00:32:00;Machine 2
Job 2;2023-01-01 00:32:00;2023-01-01 00:44:00;Machine 5
Job 3;2023-01-01 00:00:00;2023-01-01 00:04:00;Machine 2
Job 3;2023-01-01 00:04:00;2023-01-01 00:12:00;Machine 5
Job 3;2023-01-01 00:12:00;2023-01-01 00:14:00;Machine 2
Job 3;2023-01-01 00:14:00;2023-01-01 00:16:00;Machine 1
Job 3;2023-01-01 00:16:00;2023-01-01 00:22:00;Machine 1
Job 4;2023-01-01 00:00:00;2023-01-01 00:02:00;Machine 3
Job 4;2023-01-01 00:02:00;2023-01-01 00:17:00;Machine 1
Job 4;2023-01-01 00:17:00;2023-01-01 00:18:00;Machine 5
Job 4;2023-01-01 00:18:00;2023-01-01 00:30:00;Machine 5
Job 4;2023-01-01 00:30:00;2023-01-01 00:35:00;Machine 4
Job 5;2023-01-01 00:00:00;2023-01-01 00:02:00;Machine 5
Job 5;2023-01-01 00:02:00;2023-01-01 00:17:00;Machine 1
Job 5;2023-01-01 00:17:00;2023-01-01 00:24:00;Machine 5
Job 5;2023-01-01 00:24:00;2023-01-01 00:31:00;Machine 2
Job 5;2023-01-01 00:31:00;2023-01-01 00:35:00;Machine 2
Job 6;2023-01-01 00:00:00;2023-01-01 00:05:00;Machine 4
Job 6;2023-01-01 00:05:00;2023-01-01 00:12:00;Machine 5
Job 6;2023-01-01 00:12:00;2023-01-01 00:16:00;Machine 2
Job 6;2023-01-01 00:16:00;2023-01-01 00:18:00;Machine 3
Job 6;2023-01-01 00:18:00;2023-01-01 00:24:00;Machine 4
Job 7;2023-01-01 00:00:00;2023-01-01 00:06:00;Machine 4
Job 7;2023-01-01 00:06:00;2023-01-01 00:08:00;Machine 1
Job 7;2023-01-01 00:08:00;2023-01-01 00:22:00;Machine 2
Job 7;2023-01-01 00:22:00;2023-01-01 00:26:00;Machine 2
Job 7;2023-01-01 00:26:00;2023-01-01 00:33:00;Machine 2
Job 8;2023-01-01 00:00:00;2023-01-01 00:01:00;Machine 5
Job 8;2023-01-01 00:01:00;2023-01-01 00:07:00;Machine 4
Job 8;2023-01-01 00:07:00;2023-01-01 00:08:00;Machine 5
Job 8;2023-01-01 00:08:00;2023-01-01 00:22:00;Machine 2
Job 8;2023-01-01 00:22:00;2023-01-01 00:37:00;Machine 5
Job 9;2023-01-01 00:00:00;2023-01-01 00:07:00;Machine 5
Job 9;2023-01-01 00:07:00;2023-01-01 00:15:00;Machine 5
Job 9;2023-01-01 00:15:00;2023-01-01 00:21:00;Machine 1
Job 9;2023-01-01 00:21:00;2023-01-01 00:26:00;Machine 4
Job 9;2023-01-01 00:26:00;2023-01-01 00:33:00;Machine 1
