Task;Start;Finish;Resource
Job 4;2023-01-01 00:09:00;2023-01-01 00:17:00;Machine 1
Job 4;2023-01-01 00:17:00;2023-01-01 00:24:00;Machine 1
Job 4;2023-01-01 00:24:00;2023-01-01 00:26:00;Machine 3
Job 4;2023-01-01 00:26:00;2023-01-01 00:31:00;Machine 4
Job 5;2023-01-01 00:00:00;2023-01-01 00:02:00;Machine 6
Job 5;2023-01-01 00:02:00;2023-01-01 00:03:00;Machine 3
Job 5;2023-01-01 00:03:00;2023-01-01 00:04:00;Machine 7
Job 5;2023-01-01 00:04:00;2023-01-01 00:05:00;Machine 6
Job 5;2023-01-01 00:05:00;2023-01-01 00:10:00;Machine 4
Job 5;2023-01-01 00:10:00;2023-01-01 00:18:00;Machine 1
Job 5;2023-01-01 00:18:00;2023-01-01 00:25:00;Machine 1
Job 5;2023-01-01 00:25:00;2023-01-01 00:26:00;Machine 6
Job 5;2023-01-01 00:26:00;2023-01-01 00:32:00;Machine 1
Job 6;2023-01-01 00:00:00;2023-01-01 00:05:00;Machine 5
Job 6;2023-01-01 00:05:00;2023-01-01 00:12:00;Machine 1
Job 6;2023-01-01 00:12:00;2023-01-01 00:13:00;Machine 6
Job 6;2023-01-01 00:13:00;2023-01-01 00:15:00;Machine 6
Job 6;2023-01-01 00:15:00;2023-01-01 00:16:00;Machine 3
Job 7;2023-01-01 00:00:00;2023-01-01 00:05:00;Machine 4
Job 7;2023-01-01 00:05:00;2023-01-01 00:10:00;Machine 5
Job 7;2023-01-01 00:10:00;2023-01-01 00:12:00;Machine 3
Job 7;2023-01-01 00:12:00;2023-01-01 00:14:00;Machine 6
Job 7;2023-01-01 00:14:00;2023-01-01 00:15:00;Machine 6
Job 7;2023-01-01 00:15:00;2023-01-01 00:21:00;Machine 1
Job 8;2023-01-01 00:00:00;2023-01-01 00:06:00;Machine 1
Job 8;2023-01-01 00:06:00;2023-01-01 00:12:00;Machine 1
Job 8;2023-01-01 00:12:00;2023-01-01 00:13:00;Machine 3
Job 8;2023-01-01 00:13:00;2023-01-01 00:21:00;Machine 1
Job 8;2023-01-01 00:21:00;2023-01-01 00:23:00;Machine 4
Job 8;2023-01-01 00:23:00;2023-01-01 00:24:00;Machine 6
Job 8;2023-01-01 00:24:00;2023-01-01 00:26:00;Machine 7
Job 8;2023-01-01 00:26:00;2023-01-01 00:33:00;Machine 1
Job 8;2023-01-01 00:33:00;2023-01-01 00:35:00;Machine 3
Job 9;2023-01-01 00:00:00;2023-01-01 00:05:00;Machine 5
Job 9;2023-01-01 00:05:00;2023-01-01 00:11:00;Machine 1
Job 9;2023-01-01 00:11:00;2023-01-01 00:13:00;Machine 7
Job 9;2023-01-01 00:13:00;2023-01-01 00:18:00;Machine 4
Job 9;2023-01-01 00:18:00;2023-01-01 00:24:00;Machine 1
