Task;Start;Finish;Resource
Job 16;2023-01-01 01:23:00;2023-01-01 01:38:00;Machine 13
Job 16;2023-01-01 01:38:00;2023-01-01 02:05:00;Machine 11
Job 16;2023-01-01 02:05:00;2023-01-01 02:22:00;Machine 7
Job 16;2023-01-01 02:22:00;2023-01-01 02:32:00;Machine 13
Job 17;2023-01-01 00:00:00;2023-01-01 00:11:00;Machine 11
Job 17;2023-01-01 00:11:00;2023-01-01 00:28:00;Machine 13
Job 17;2023-01-01 00:28:00;2023-01-01 00:48:00;Machine 9
Job 17;2023-01-01 00:48:00;2023-01-01 01:02:00;Machine 14
Job 17;2023-01-01 01:02:00;2023-01-01 01:27:00;Machine 5
Job 17;2023-01-01 01:27:00;2023-01-01 01:40:00;Machine 14
Job 17;2023-01-01 01:40:00;2023-01-01 01:59:00;Machine 10
Job 17;2023-01-01 01:59:00;2023-01-01 02:11:00;Machine 5
Job 17;2023-01-01 02:11:00;2023-01-01 02:28:00;Machine 12
Job 18;2023-01-01 00:00:00;2023-01-01 00:20:00;Machine 9
Job 18;2023-01-01 00:20:00;2023-01-01 00:30:00;Machine 4
Job 18;2023-01-01 00:30:00;2023-01-01 00:58:00;Machine 10
Job 18;2023-01-01 00:58:00;2023-01-01 01:15:00;Machine 12
Job 18;2023-01-01 01:15:00;2023-01-01 01:37:00;Machine 5
Job 18;2023-01-01 01:37:00;2023-01-01 01:52:00;Machine 13
Job 18;2023-01-01 01:52:00;2023-01-01 02:19:00;Machine 11
Job 18;2023-01-01 02:19:00;2023-01-01 02:33:00;Machine 9
Job 18;2023-01-01 02:33:00;2023-01-01 02:56:00;Machine 6
Job 18;2023-01-01 02:56:00;2023-01-01 03:09:00;Machine 14
Job 19;2023-01-01 00:00:00;2023-01-01 00:25:00;Machine 5
Job 19;2023-01-01 00:25:00;2023-01-01 00:50:00;Machine 14
Job 19;2023-01-01 00:50:00;2023-01-01 01:13:00;Machine 8
Job 19;2023-01-01 01:13:00;2023-01-01 01:24:00;Machine 1
Job 19;2023-01-01 01:24:00;2023-01-01 01:41:00;Machine 12
Job 19;2023-01-01 01:41:00;2023-01-01 02:04:00;Machine 6
Job 19;2023-01-01 02:04:00;2023-01-01 02:24:00;Machine 9
Job 19;2023-01-01 02:24:00;2023-01-01 02:44:00;Machine 14
Job 2;2023-01-01 00:00:00;2023-01-01 00:17:00;Machine 13
Job 2;2023-01-01 00:17:00;2023-01-01 00:35:00;Machine 10
Job 2;2023-01-01 00:35:00;2023-01-01 00:52:00;Machine 12
Job 2;2023-01-01 00:52:00;2023-01-01 01:03:00;Machine 1
Job 2;2023-01-01 01:03:00;2023-01-01 01:28:00;Machine 1
Job 2;2023-01-01 01:28:00;2023-01-01 01:38:00;Machine 13
Job 2;2023-01-01 01:38:00;2023-01-01 02:01:00;Machine 6
Job 2;2023-01-01 02:01:00;2023-01-01 02:17:00;Machine 14
Job 20;2023-01-01 00:00:00;2023-01-01 00:14:00;Machine 14
Job 20;2023-01-01 00:14:00;2023-01-01 00:32:00;Machine 10
Job 20;2023-01-01 00:32:00;2023-01-01 00:54:00;Machine 5
Job 20;2023-01-01 00:54:00;2023-01-01 01:08:00;Machine 9
Job 20;2023-01-01 01:08:00;2023-01-01 01:18:00;Machine 13
Job 20;2023-01-01 01:18:00;2023-01-01 01:31:00;Machine 14
Job 20;2023-01-01 01:31:00;2023-01-01 01:51:00;Machine 9
Job 20;2023-01-01 01:51:00;2023-01-01 02:16:00;Machine 14
Job 21;2023-01-01 00:00:00;2023-01-01 00:28:00;Machine 10
Job 21;2023-01-01 00:28:00;2023-01-01 00:45:00;Machine 13
Job 21;2023-01-01 00:45:00;2023-01-01 01:02:00;Machine 12
Job 21;2023-01-01 01:02:00;2023-01-01 01:27:00;Machine 5
Job 21;2023-01-01 01:27:00;2023-01-01 01:41:00;Machine 14
Job 21;2023-01-01 01:41:00;2023-01-01 01:59:00;Machine 14
Job 21;2023-01-01 01:59:00;2023-01-01 02:22:00;Machine 6
Job 21;2023-01-01 02:22:00;2023-01-01 02:40:00;Machine 10
Job 22;2023-01-01 00:00:00;2023-01-01 00:10:00;Machine 13
Job 22;2023-01-01 00:10:00;2023-01-01 00:27:00;Machine 12
Job 22;2023-01-01 00:27:00;2023-01-01 00:44:00;Machine 7
Job 22;2023-01-01 00:44:00;2023-01-01 00:58:00;Machine 9
Job 22;2023-01-01 00:58:00;2023-01-01 01:10:00;Machine 5
Job 22;2023-01-01 01:10:00;2023-01-01 01:30:00;Machine 2
Job 22;2023-01-01 01:30:00;2023-01-01 01:50:00;Machine 14
Job 22;2023-01-01 01:50:00;2023-01-01 02:18:00;Machine 10
Job 23;2023-01-01 00:00:00;2023-01-01 00:23:00;Machine 8
Job 23;2023-01-01 00:23:00;2023-01-01 00:39:00;Machine 4
Job 23;2023-01-01 00:39:00;2023-01-01 00:59:00;Machine 9
Job 23;2023-01-01 00:59:00;2023-01-01 01:19:00;Machine 2
Job 23;2023-01-01 01:19:00;2023-01-01 01:42:00;Machine 6
Job 23;2023-01-01 01:42:00;2023-01-01 01:53:00;Machine 1
Job 23;2023-01-01 01:53:00;2023-01-01 02:03:00;Machine 13
Job 23;2023-01-01 02:03:00;2023-01-01 02:28:00;Machine 1
Job 23;2023-01-01 02:28:00;2023-01-01 02:47:00;Machine 10
Job 23;2023-01-01 02:47:00;2023-01-01 03:01:00;Machine 14
Job 23;2023-01-01 03:01:00;2023-01-01 03:26:00;Machine 14
Job 24;2023-01-01 00:00:00;2023-01-01 00:23:00;Machine 6
Job 24;2023-01-01 00:23:00;2023-01-01 00:37:00;Machine 9
Job 24;2023-01-01 00:37:00;2023-01-01 00:48:00;Machine 1
Job 24;2023-01-01 00:48:00;2023-01-01 01:06:00;Machine 14
Job 24;2023-01-01 01:06:00;2023-01-01 01:29:00;Machine 8
Job 24;2023-01-01 01:29:00;2023-01-01 01:54:00;Machine 14
Job 24;2023-01-01 01:54:00;2023-01-01 02:04:00;Machine 13
Job 24;2023-01-01 02:04:00;2023-01-01 02:17:00;Machine 14
Job 24;2023-01-01 02:17:00;2023-01-01 02:44:00;Machine 11
Job 25;2023-01-01 00:00:00;2023-01-01 00:14:00;Machine 14
Job 25;2023-01-01 00:14:00;2023-01-01 00:37:00;Machine 8
Job 25;2023-01-01 00:37:00;2023-01-01 00:51:00;Machine 9
Job 25;2023-01-01 00:51:00;2023-01-01 01:13:00;Machine 5
Job 25;2023-01-01 01:13:00;2023-01-01 01:26:00;Machine 14
Job 25;2023-01-01 01:26:00;2023-01-01 01:53:00;Machine 11
Job 25;2023-01-01 01:53:00;2023-01-01 02:11:00;Machine 14
Job 25;2023-01-01 02:11:00;2023-01-01 02:22:00;Machine 1
Job 26;2023-01-01 00:00:00;2023-01-01 00:20:00;Machine 14
Job 26;2023-01-01 00:20:00;2023-01-01 00:37:00;Machine 12
Job 26;2023-01-01 00:37:00;2023-01-01 00:47:00;Machine 13
Job 26;2023-01-01 00:47:00;2023-01-01 01:04:00;Machine 7
Job 26;2023-01-01 01:04:00;2023-01-01 01:24:00;Machine 9
Job 26;2023-01-01 01:24:00;2023-01-01 01:46:00;Machine 5
Job 26;2023-01-01 01:46:00;2023-01-01 02:05:00;Machine 10
Job 26;2023-01-01 02:05:00;2023-01-01 02:16:00;Machine 11
Job 26;2023-01-01 02:16:00;2023-01-01 02:29:00;Machine 14
Job 26;2023-01-01 02:29:00;2023-01-01 02:43:00;Machine 9
Job 27;2023-01-01 00:00:00;2023-01-01 00:18:00;Machine 10
Job 27;2023-01-01 00:18:00;2023-01-01 00:34:00;Machine 4
Job 27;2023-01-01 00:34:00;2023-01-01 00:54:00;Machine 14
Job 27;2023-01-01 00:54:00;2023-01-01 01:08:00;Machine 9
Job 27;2023-01-01 01:08:00;2023-01-01 01:25:00;Machine 7
Job 27;2023-01-01 01:25:00;2023-01-01 01:41:00;Machine 14
Job 27;2023-01-01 01:41:00;2023-01-01 02:01:00;Machine 9
Job 27;2023-01-01 02:01:00;2023-01-01 02:29:00;Machine 10
Job 28;2023-01-01 00:00:00;2023-01-01 00:10:00;Machine 4
Job 28;2023-01-01 00:10:00;2023-01-01 00:35:00;Machine 5
Job 28;2023-01-01 00:35:00;2023-01-01 00:52:00;Machine 12
Job 28;2023-01-01 00:52:00;2023-01-01 01:03:00;Machine 1
Job 28;2023-01-01 01:03:00;2023-01-01 01:26:00;Machine 8
Job 28;2023-01-01 01:26:00;2023-01-01 01:46:00;Machine 9
Job 28;2023-01-01 01:46:00;2023-01-01 02:06:00;Machine 14
Job 28;2023-01-01 02:06:00;2023-01-01 02:24:00;Machine 10
Job 28;2023-01-01 02:24:00;2023-01-01 02:49:00;Machine 14
Job 28;2023-01-01 02:49:00;2023-01-01 03:05:00;Machine 4
Job 29;2023-01-01 00:00:00;2023-01-01 00:16:00;Machine 4
Job 29;2023-01-01 00:16:00;2023-01-01 00:33:00;Machine 7
Job 29;2023-01-01 00:33:00;2023-01-01 00:48:00;Machine 13
Job 29;2023-01-01 00:48:00;2023-01-01 00:58:00;Machine 13
Job 29;2023-01-01 00:58:00;2023-01-01 01:09:00;Machine 1
Job 29;2023-01-01 01:09:00;2023-01-01 01:28:00;Machine 10
Job 29;2023-01-01 01:28:00;2023-01-01 01:42:00;Machine 14
Job 29;2023-01-01 01:42:00;2023-01-01 02:07:00;Machine 14
Job 29;2023-01-01 02:07:00;2023-01-01 02:27:00;Machine 14
Job 29;2023-01-01 02:27:00;2023-01-01 02:43:00;Machine 14
Job 29;2023-01-01 02:43:00;2023-01-01 03:00:00;Machine 12
Job 3;2023-01-01 00:00:00;2023-01-01 00:28:00;Machine 10
Job 3;2023-01-01 00:28:00;2023-01-01 00:45:00;Machine 7
Job 3;2023-01-01 00:45:00;2023-01-01 00:57:00;Machine 5
Job 3;2023-01-01 00:57:00;2023-01-01 01:13:00;Machine 4
Job 3;2023-01-01 01:13:00;2023-01-01 01:26:00;Machine 14
Job 3;2023-01-01 01:26:00;2023-01-01 01:46:00;Machine 2
Job 3;2023-01-01 01:46:00;2023-01-01 02:04:00;Machine 10
Job 3;2023-01-01 02:04:00;2023-01-01 02:20:00;Machine 14
Job 3;2023-01-01 02:20:00;2023-01-01 02:31:00;Machine 1
Job 3;2023-01-01 02:31:00;2023-01-01 02:41:00;Machine 13
Job 4;2023-01-01 00:00:00;2023-01-01 00:22:00;Machine 5
Job 4;2023-01-01 00:22:00;2023-01-01 00:33:00;Machine 1
Job 4;2023-01-01 00:33:00;2023-01-01 00:53:00;Machine 9
Job 4;2023-01-01 00:53:00;2023-01-01 01:16:00;Machine 8
Job 4;2023-01-01 01:16:00;2023-01-01 01:41:00;Machine 5
Job 4;2023-01-01 01:41:00;2023-01-01 01:58:00;Machine 12
Job 4;2023-01-01 01:58:00;2023-01-01 02:09:00;Machine 11
Job 4;2023-01-01 02:09:00;2023-01-01 02:28:00;Machine 10
Job 4;2023-01-01 02:28:00;2023-01-01 02:45:00;Machine 7
Job 5;2023-01-01 00:00:00;2023-01-01 00:20:00;Machine 14
Job 5;2023-01-01 00:20:00;2023-01-01 00:31:00;Machine 11
Job 5;2023-01-01 00:31:00;2023-01-01 00:59:00;Machine 10
Job 5;2023-01-01 00:59:00;2023-01-01 01:26:00;Machine 11
Job 5;2023-01-01 01:26:00;2023-01-01 01:49:00;Machine 6
Job 5;2023-01-01 01:49:00;2023-01-01 02:06:00;Machine 12
Job 5;2023-01-01 02:06:00;2023-01-01 02:29:00;Machine 8
Job 5;2023-01-01 02:29:00;2023-01-01 02:54:00;Machine 14
Job 6;2023-01-01 00:00:00;2023-01-01 00:23:00;Machine 8
Job 6;2023-01-01 00:23:00;2023-01-01 00:43:00;Machine 2
Job 6;2023-01-01 00:43:00;2023-01-01 00:56:00;Machine 14
Job 6;2023-01-01 00:56:00;2023-01-01 01:07:00;Machine 1
Job 6;2023-01-01 01:07:00;2023-01-01 01:17:00;Machine 13
Job 6;2023-01-01 01:17:00;2023-01-01 01:29:00;Machine 5
Job 6;2023-01-01 01:29:00;2023-01-01 01:39:00;Machine 4
Job 6;2023-01-01 01:39:00;2023-01-01 02:02:00;Machine 6
Job 7;2023-01-01 00:00:00;2023-01-01 00:16:00;Machine 14
Job 7;2023-01-01 00:16:00;2023-01-01 00:34:00;Machine 14
Job 7;2023-01-01 00:34:00;2023-01-01 00:46:00;Machine 5
Job 7;2023-01-01 00:46:00;2023-01-01 01:11:00;Machine 14
Job 7;2023-01-01 01:11:00;2023-01-01 01:28:00;Machine 12
Job 7;2023-01-01 01:28:00;2023-01-01 01:50:00;Machine 5
Job 7;2023-01-01 01:50:00;2023-01-01 02:13:00;Machine 6
Job 7;2023-01-01 02:13:00;2023-01-01 02:38:00;Machine 1
Job 7;2023-01-01 02:38:00;2023-01-01 02:49:00;Machine 1
Job 7;2023-01-01 02:49:00;2023-01-01 03:06:00;Machine 12
Job 7;2023-01-01 03:06:00;2023-01-01 03:34:00;Machine 10
Job 8;2023-01-01 00:00:00;2023-01-01 00:11:00;Machine 11
Job 8;2023-01-01 00:11:00;2023-01-01 00:28:00;Machine 12
Job 8;2023-01-01 00:28:00;2023-01-01 00:42:00;Machine 14
Job 8;2023-01-01 00:42:00;2023-01-01 00:56:00;Machine 9
Job 8;2023-01-01 00:56:00;2023-01-01 01:16:00;Machine 14
Job 8;2023-01-01 01:16:00;2023-01-01 01:33:00;Machine 7
Job 8;2023-01-01 01:33:00;2023-01-01 01:58:00;Machine 1
Job 8;2023-01-01 01:58:00;2023-01-01 02:18:00;Machine 9
Job 8;2023-01-01 02:18:00;2023-01-01 02:29:00;Machine 1
Job 8;2023-01-01 02:29:00;2023-01-01 02:49:00;Machine 2
Job 8;2023-01-01 02:49:00;2023-01-01 02:59:00;Machine 13
Job 9;2023-01-01 00:00:00;2023-01-01 00:23:00;Machine 6
Job 9;2023-01-01 00:23:00;2023-01-01 00:41:00;Machine 10
Job 9;2023-01-01 00:41:00;2023-01-01 00:55:00;Machine 14
Job 9;2023-01-01 00:55:00;2023-01-01 01:12:00;Machine 12
Job 9;2023-01-01 01:12:00;2023-01-01 01:30:00;Machine 14
Job 9;2023-01-01 01:30:00;2023-01-01 01:55:00;Machine 14
Job 9;2023-01-01 01:55:00;2023-01-01 02:15:00;Machine 14
Job 9;2023-01-01 02:15:00;2023-01-01 02:31:00;Machine 4
Job 9;2023-01-01 02:31:00;2023-01-01 02:41:00;Machine 4
Job 9;2023-01-01 02:41:00;2023-01-01 03:06:00;Machine 1
